Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
"Bonnie 's science class recorded the rainfall each day . They recorded number0 centimeter of rain on Monday , number1 centimeter of rain on Tuesday , and number2 centimeter of rain on Wednesday . How many centimeters of rain did the class record in all ?",0.16666666666666666 0.4166666666666667 0.08333333333333333,+ + number0 number1 number2,0.6666666666666666,"[11, 12, 13, 18, 19, 20, 26, 27, 28, 42, 43, 44]","Bonnie 's science class recorded the rainfall each day . They recorded number0 centimeter of rain on Monday , number1 centimeter of rain on Tuesday , and number2 centimeter of rain on Wednesday .",How many centimeters of rain did the class record in all ?
There are number0 walnut trees currently in the park . Park workers will plant walnut trees today . When the workers are finished there will be number1 walnut trees in the park . How many walnut trees did the workers plant today ?,22.0 55.0,- number1 number0,33,"[1, 2, 3, 25, 26, 27, 39, 40, 41]",There are number0 walnut trees currently in the park . Park workers will plant walnut trees today . When the workers are finished there will be number1 walnut trees in the park .,How many walnut trees did the workers plant today ?
"Zoe had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs , how many songs does she have on her mp3 player ?",15.0 8.0 50.0,- + number0 number2 number1,57.0,"[1, 2, 3, 11, 12, 13, 19, 20, 21, 31, 32, 33]","Zoe had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs ,",how many songs does she have on her mp3 player ?
Tyler had number0 dogs . Each dog had number1 puppies . How many puppies does Tyler now have ?,15.0 5.0,* number0 number1,75.0,"[1, 2, 3, 7, 8, 9, 15, 16, 17]",Tyler had number0 dogs . Each dog had number1 puppies .,How many puppies does Tyler now have ?
Katie had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Katie end up with ?,85.0 40.0 5.0,/ - number0 number1 number2,9.0,"[1, 2, 3, 9, 10, 11, 19, 20, 21, 31, 32, 33]",Katie had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one .,How many folders did Katie end up with ?
"During number0 year , the Wagners ' real estate bill included number1 dollars for local schools . Of this amount , number2 dollars went to the high school district . What percent did the Wagner family pay to the high school district ?",1.0 600.0 150.0,* / number2 number1 100.0,25.0,"[0, 1, 2, 10, 11, 12, 20, 21, 22, 39, 40, 41]","During number0 year , the Wagners ' real estate bill included number1 dollars for local schools . Of this amount , number2 dollars went to the high school district .",What percent did the Wagner family pay to the high school district ?
"Alyssa has number0 blue balloons , Sandy has number1 blue balloons , and Sally has number2 blue balloons . How many blue balloons do they have in all ?",37.0 28.0 39.0,+ + number0 number1 number2,104.0,"[1, 2, 3, 7, 8, 9, 16, 17, 18, 27, 28, 29]","Alyssa has number0 blue balloons , Sandy has number1 blue balloons , and Sally has number2 blue balloons .",How many blue balloons do they have in all ?
"If there are number0 eggs in a box and Daniel puts number1 more eggs inside , how many eggs are in the box ?",7.0 4.0,+ number0 number1,11.0,"[2, 3, 4, 10, 11, 12, 20, 21, 22]","If there are number0 eggs in a box and Daniel puts number1 more eggs inside ,",how many eggs are in the box ?
Martin strolled to Lawrence 's house . It is number0 miles from Martin 's house to Lawrence 's house . It took Martin number1 hours to get there . How fast did Martin go ?,12.0 6.0,/ number0 number1,2.0,"[8, 9, 10, 22, 23, 24, 31, 32, 33]",Martin strolled to Lawrence 's house . It is number0 miles from Martin 's house to Lawrence 's house . It took Martin number1 hours to get there .,How fast did Martin go ?
"If each ball costs $ number0 , how much must Kyoko pay for number1 balls ?",1.54 3.0,* number0 number1,4.62,"[4, 5, 6, 12, 13, 14, 12, 13, 14]","If each ball costs $ number0 ,",how much must Kyoko pay for number1 balls ?
A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage . How many cages did they use ?,13.0 7.0 2.0,/ - number0 number1 number2,3.0,"[3, 4, 5, 11, 12, 13, 21, 22, 23, 30, 31, 32]",A pet store had number0 puppies . In one day they sold number1 of them and put the rest into cages with number2 in each cage .,How many cages did they use ?
Sara had number0 pennies and number1 quarters in her bank . Her dad borrowed number2 quarters from Sara . How many quarters does she have now ?,100.0 783.0 271.0,- number1 number2,512,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 23, 24, 25]",Sara had number0 pennies and number1 quarters in her bank . Her dad borrowed number2 quarters from Sara .,How many quarters does she have now ?
Charles has number0 apples . Jessica gives Charles number1 more . How many apples does Charles have in all ?,4.0 39.0,+ number0 number1,43.0,"[1, 2, 3, 7, 8, 9, 16, 17, 18]",Charles has number0 apples . Jessica gives Charles number1 more .,How many apples does Charles have in all ?
"Tom purchased a football game for $ number0 , a strategy game for $ number1 , and a Batman game for $ number2 . How much did Tom spend on video games ?",14.02 9.46 12.04,+ + number0 number1 number2,35.52,"[6, 7, 8, 13, 14, 15, 21, 22, 23, 29, 30, 31]","Tom purchased a football game for $ number0 , a strategy game for $ number1 , and a Batman game for $ number2 .",How much did Tom spend on video games ?
"Will bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Will still have ?",7.0 3.0 4.0,* number2 - number0 number1,16.0,"[1, 2, 3, 8, 9, 10, 18, 19, 20, 28, 29, 30]","Will bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it ,",how many pieces did Will still have ?
Fred has number0 cents in his bank . How many dimes does Fred have ?,90.0,/ number0 10.0,9.0,"[1, 2, 3, 13, 14, 15]",Fred has number0 cents in his bank .,How many dimes does Fred have ?
"Virginia has number0 eggs and number1 Skittles . If she shares the eggs among number2 friends , how many eggs does each friend get ?",16.0 8.0 4.0,/ number0 number2,4.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 21, 22, 23]","Virginia has number0 eggs and number1 Skittles . If she shares the eggs among number2 friends ,",how many eggs does each friend get ?
"Melanie had number0 baseball cards , and number1 were torn . Sara bought number2 of Melanie 's baseball cards . How many baseball cards does Melanie have now ?",30.0 9.0 18.0,- number0 number2,12,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 25, 26, 27]","Melanie had number0 baseball cards , and number1 were torn . Sara bought number2 of Melanie 's baseball cards .",How many baseball cards does Melanie have now ?
Will was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours . How much money did Will make in those two days ?,8.0 8.0 2.0,* number0 + number0 number2,80.0,"[12, 13, 14, 21, 22, 23, 28, 29, 30, 39, 40, 41]",Will was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours .,How much money did Will make in those two days ?
"If your gross pay is number0 dollars , while your net pay is number1 dollars , how much do you pay in taxes ? Assume that all tax dollars are not included in net pay .",450.0 315.0,- number0 number1,135.0,"[4, 5, 6, 12, 13, 14, 32, 33, 34]","If your gross pay is number0 dollars , while your net pay is number1 dollars ,",how much do you pay in taxes ? Assume that all tax dollars are not included in net pay .
Joan found number0 seashells and Jessica found number1 seashells on the beach . How many seashells did they find together ?,6.0 8.0,+ number0 number1,14.0,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",Joan found number0 seashells and Jessica found number1 seashells on the beach .,How many seashells did they find together ?
Mrs. Hilt read number0 books . Each book had number1 chapters in it . How many chapters did Mrs. Hilt read ?,4.0 17.0,* number0 number1,68.0,"[2, 3, 4, 8, 9, 10, 18, 19, 20]",Mrs. Hilt read number0 books . Each book had number1 chapters in it .,How many chapters did Mrs. Hilt read ?
"John was trying to expand his game collection . He bought number0 games from a friend and bought number1 more at a garage sale . If number2 of the games did n't work , how many good games did he end up with ?",21.0 8.0 23.0,- + number0 number1 number2,6.0,"[10, 11, 12, 17, 18, 19, 25, 26, 27, 40, 41, 42]","John was trying to expand his game collection . He bought number0 games from a friend and bought number1 more at a garage sale . If number2 of the games did n't work ,",how many good games did he end up with ?
"While on vacation , Gwen took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?",41.0 29.0 15.0,- + number0 number1 number2,55.0,"[5, 6, 7, 11, 12, 13, 20, 21, 22, 33, 34, 35]","While on vacation , Gwen took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures ,",how many pictures from her vacation did she still have ?
"If Lawrence walked number0 kilometers at number1 kilometers per hour , how long was Lawrence walking ?",4.0 3.0,- number0 number1,1.0,"[2, 3, 4, 5, 6, 7, 13, 14, 15]","If Lawrence walked number0 kilometers at number1 kilometers per hour ,",how long was Lawrence walking ?
number0 friends own a car in Florida . One owns number1 of the car the second owns number2 . How much does the third own ?,3.0 0.5833 0.1667,- - 1.0 number1 number2,0.25,"[0, 1, 9, 10, 11, 16, 17, 18, 22, 23, 24]",number0 friends own a car in Florida . One owns number1 of the car the second owns number2 .,How much does the third own ?
"Edward earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them , how much money did he actually earn ?",4.0 17.0 9.0,* number0 - number1 number2,32.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 30, 31, 32]","Edward earned number0 dollars for each lawn he mowed . If he had number1 lawns to mow , but forgot to mow number2 of them ,",how much money did he actually earn ?
"Debby 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",4.0 2.0 6.0,/ + number1 number2 number0,2.0,"[17, 18, 19, 22, 23, 24, 25, 26, 27, 33, 34, 35]","Debby 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going ,",how many vans will they need ?
Jeremy strolled number0 kilometers at number1 kilometers per hour . How long did Jeremy stroll ?,20.0 2.0,/ number0 number1,10.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Jeremy strolled number0 kilometers at number1 kilometers per hour .,How long did Jeremy stroll ?
"Katie was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?",4.0 3.0 3.0,* number1 + number0 number1,21.0,"[11, 12, 13, 15, 16, 17, 24, 25, 26, 31, 32, 33]","Katie was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars ,",how much money did she earn ?
"Sam was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",3.0 4.0 9.0,* number2 + number0 number1,63.0,"[10, 11, 12, 18, 19, 20, 26, 27, 28, 37, 38, 39]","Sam was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?
