Question,Numbers,Equation,Answer,group_nums,Body,Ques
isabella 's hair is number0 inches long . if she gets a haircut and now her hair is number1 inches long how much of isabella 's hair got cut off ?,18 9,- number0 number1,9.0,"[3, 4, 5, 17, 18, 19, 27, 28, 29]",isabella 's hair is number0 inches long . if she gets a haircut and now her hair is number1 inches long,how much of isabella 's hair got cut off ?
isabella 's hair is number0 inches long . by the end of the year her hair is number1 inches long . how much hair did she grow ?,18 24,- number1 number0,6.0,"[3, 4, 5, 16, 17, 18, 24, 25, 26]",isabella 's hair is number0 inches long . by the end of the year her hair is number1 inches long .,how much hair did she grow ?
jovana had number0 pounds of shells in her bucket . she added some shells and now has number1 pounds of shells . how many pounds did she add ?,5 28,- number1 number0,23.0,"[1, 2, 3, 5, 6, 16, 17, 18, 25, 26, 27]",jovana had number0 pounds of shells in her bucket . she added some shells and now has number1 pounds of shells .,how many pounds did she add ?
isha 's pencil is number0 inches long . if she sharpens it now her pencil is number1 inches long . how much did she sharpen off of her pencil ?,31 14,- number0 number1,17.0,"[3, 4, 5, 15, 16, 17, 26, 27, 28]",isha 's pencil is number0 inches long . if she sharpens it now her pencil is number1 inches long .,how much did she sharpen off of her pencil ?
mrs. sheridan has number0 cats . how many more cats does mrs. sheridan need to have number1 cats ?,11 43,- number1 number0,32.0,"[1, 2, 3, 4, 7, 9, 15, 16, 17]",mrs. sheridan has number0 cats .,how many more cats does mrs. sheridan need to have number1 cats ?
mrs. wong had number0 valentines . she gave number1 valentines to her children . how many does she have left ?,30 8,- number0 number1,22.0,"[1, 2, 3, 4, 7, 8, 9, 17, 18, 19]",mrs. wong had number0 valentines . she gave number1 valentines to her children .,how many does she have left ?
mrs. franklin had number0 valentines . mrs. franklin gave some to her students . now she has number1 how many valentines did mrs. franklin give to her students ?,58 16,- number0 number1,42.0,"[1, 2, 3, 4, 6, 16, 17, 18, 25, 26, 27]",mrs. franklin had number0 valentines . mrs. franklin gave some to her students . now she has number1 how,many valentines did mrs. franklin give to her students ?
mrs. snyder made number0 heart cookies . she made number1 red cookies and the rest are pink . how many pink cookies did she make ?,86 36,- number0 number1,50.0,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 22, 23, 24]",mrs. snyder made number0 heart cookies . she made number1 red cookies and the rest are pink .,how many pink cookies did she make ?
number0 birds were sitting in a tree . some more fly up to the tree . then there were number1 birds in the tree . how many more flew up to the tree ?,29 42,- number1 number0,13.0,"[0, 1, 2, 3, 32, 18, 19, 20, 30, 31]",number0 birds were sitting in a tree . some more fly up to the tree . then there were number1 birds in the tree .,how many more flew up to the tree ?
number0 children were riding on the bus . at the bus stop some more children got on the bus . then there were number1 children altogether on the bus . how many children got on the bus at the bus stop ?,18 25,- number1 number0,7.0,"[0, 1, 2, 3, 38, 39, 40, 13, 15, 22, 23, 24]",number0 children were riding on the bus . at the bus stop some more children got on the bus . then there were number1 children altogether on the bus .,how many children got on the bus at the bus stop ?
there were number0 girls and number1 boys on the playground at recess . how many children were there in all ?,28 35,+ number0 number1,63.0,"[1, 2, 3, 4, 5, 6, 17, 18, 19]",there were number0 girls and number1 boys on the playground at recess .,how many children were there in all ?
the elephant had number0 peanuts . she ate number1 of them . how many peanuts did the elephant have left ?,407 129,- number0 number1,278.0,"[1, 2, 3, 4, 7, 8, 9, 17, 18, 19]",the elephant had number0 peanuts . she ate number1 of them .,how many peanuts did the elephant have left ?
there were number0 geese and number1 ducks in the marsh . how many birds were there in all ?,58 37,+ number0 number1,95.0,"[1, 2, 3, 4, 5, 6, 15, 16, 17]",there were number0 geese and number1 ducks in the marsh .,how many birds were there in all ?
robin had number0 pieces of gum . her brother gave her some more pieces . now robin has number1 pieces in all . how many pieces of gum did robin 's brother give her ?,18 44,- number1 number0,26.0,"[32, 1, 2, 3, 33, 5, 9, 17, 18, 19, 31]",robin had number0 pieces of gum . her brother gave her some more pieces . now robin has number1 pieces in all .,how many pieces of gum did robin 's brother give her ?
tommy had some balloons . his mom gave him number0 more balloons for his birthday . then tommy had number1 balloons . how many balloons did tommy have to start with ?,34 60,- number1 number0,26.0,"[1, 2, 5, 7, 8, 9, 10, 11, 18, 19, 20, 28, 29, 30]",tommy had some balloons . his mom gave him number0 more balloons for his birthday . then tommy had number1 balloons .,how many balloons did tommy have to start with ?
alex had some candles for his jack o'lanterns . he used number0 of them . now he has number1 left . how many candles did alex have to start with ?,32 12,+ number0 number1,44.0,"[10, 11, 12, 17, 18, 19, 27, 28, 29]",alex had some candles for his jack o'lanterns . he used number0 of them . now he has number1 left .,how many candles did alex have to start with ?
there were number0 kids on the soccer field . number1 kids decided to join in . now how many kids are on the soccer field ?,14 22,+ number0 number1,36.0,"[1, 2, 3, 8, 9, 10, 11, 22, 23, 24]",there were number0 kids on the soccer field . number1 kids decided to join in .,now how many kids are on the soccer field ?
finn has number0 goldfish . number1 of the goldfish die . how many goldfish are left ?,89 32,- number0 number1,57.0,"[1, 2, 3, 5, 6, 13, 14, 15]",finn has number0 goldfish . number1 of the goldfish die .,how many goldfish are left ?
jane has number0 old brown sheets of drawing paper and number1 old yellow sheets of drawing paper . how many pieces of drawing paper does she have ?,28 27,+ number0 number1,55.0,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 24, 25, 26]",jane has number0 old brown sheets of drawing paper and number1 old yellow sheets of drawing paper .,how many pieces of drawing paper does she have ?
mikey had number0 leaves . some of her leaves blew away . now she has number1 leaves left . how many of her leaves blew away ?,356 112,- number0 number1,244.0,"[1, 2, 3, 14, 15, 16, 23, 24, 25]",mikey had number0 leaves . some of her leaves blew away . now she has number1 leaves left .,how many of her leaves blew away ?
marcus has number0 baseball cards . he has number1 more than carter . how many baseball cards does carter have ?,210 58,- number0 number1,152.0,"[1, 2, 3, 4, 6, 7, 8, 9, 17, 18, 19]",marcus has number0 baseball cards . he has number1 more than carter .,how many baseball cards does carter have ?
gavin has number0 shirts . number1 are blue the rest are green . how many green shirts does gavin have ?,23 6,- number0 number1,17.0,"[1, 2, 3, 5, 6, 7, 17, 18, 19]",gavin has number0 shirts . number1 are blue the rest are green .,how many green shirts does gavin have ?
ethan has number0 presents . alissa has number1 more than ethan . how many presents does alissa have ?,31 22,+ number0 number1,53.0,"[1, 2, 3, 5, 6, 7, 8, 15, 16, 17]",ethan has number0 presents . alissa has number1 more than ethan .,how many presents does alissa have ?
cindy had number0 pieces of candy . she ate number1 pieces in the morning and number2 more pieces in the afternoon . how many pieces of candy does she have left ?,41 6 12,- - number0 number1 number2,23.0,"[1, 2, 3, 8, 9, 10, 14, 15, 16, 17, 28, 29, 30]",cindy had number0 pieces of candy . she ate number1 pieces in the morning and number2 more pieces in the afternoon .,how many pieces of candy does she have left ?
robert wants to practice goal kicks for soccer . he decides to have number0 kicks before going home from the park . he takes number1 kicks before taking a break to get a drink of water . he then takes another number2 kicks . how many more kicks does he need to make before he goes home ?,98 43 36,- - number0 number1 number2,19.0,"[1, 2, 3, 40, 41, 42, 12, 13, 14, 55, 54, 23, 24, 25, 56]",robert wants to practice goal kicks for soccer . he decides to have number0 kicks before going home from the park . he takes number1 kicks before taking a break to get a drink of water . he then takes another number2 kicks .,how many more kicks does he need to make before he goes home ?
cindy has number0 stickers . she uses number1 stickers . she buys number2 more stickers . how many stickers does cindy have now ?,105 23 45,+ - number0 number1 number2,127.0,"[1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 20, 21, 22]",cindy has number0 stickers . she uses number1 stickers . she buys number2 more stickers .,how many stickers does cindy have now ?
brian has number0 pencils . he gives number1 pencils to a friend . he buys number2 more pencils . how many pencils does brian have now ?,39 18 22,+ - number0 number1 number2,43.0,"[1, 2, 3, 5, 6, 7, 8, 14, 15, 16, 17, 23, 24, 25]",brian has number0 pencils . he gives number1 pencils to a friend . he buys number2 more pencils .,how many pencils does brian have now ?
karen has number0 markers . her mother gives her number1 more markers . karen loses number2 markers . how many markers does she have now ?,252 34 11,- + number0 number1 number2,275.0,"[1, 2, 3, 5, 7, 8, 9, 10, 11, 14, 15, 16, 22, 23, 24]",karen has number0 markers . her mother gives her number1 more markers . karen loses number2 markers .,how many markers does she have now ?
on the first day of the week pat had number0 stickers . pat earned number1 more during the week . how many stickers did pat have at the end of the week ?,39 22,+ number0 number1,61.0,"[1, 5, 8, 9, 10, 13, 14, 15, 29, 30, 31]",on the first day of the week pat had number0 stickers . pat earned number1 more during the week .,how many stickers did pat have at the end of the week ?
kelly had number0 apples . how many more apples does kelly need to pick to have number1 apples altogether ?,56 105,- number1 number0,49.0,"[1, 2, 3, 6, 10, 15, 16, 17, 18]",kelly had number0 apples .,how many more apples does kelly need to pick to have number1 apples altogether ?
todd has some gum . steve gave him number0 more pieces of gum . now todd has number1 pieces of gum . how many pieces did todd have to start with ?,16 54,- number1 number0,38.0,"[1, 2, 4, 7, 8, 9, 10, 16, 17, 18, 28, 29, 30]",todd has some gum . steve gave him number0 more pieces of gum . now todd has number1 pieces of gum .,how many pieces did todd have to start with ?
josh had number0 pencils . he gave number1 pencils to dorothy . how many pencils does josh have left ?,142 31,- number0 number1,111.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",josh had number0 pencils . he gave number1 pencils to dorothy .,how many pencils does josh have left ?
nell collects baseball cards . she had number0 cards . she gave some of her cards to jeff and now has number1 cards left . how many cards did nell give to jeff ?,304 276,- number0 number1,28.0,"[32, 1, 5, 6, 7, 8, 10, 20, 21, 22, 30, 31]",nell collects baseball cards . she had number0 cards . she gave some of her cards to jeff and now has number1 cards left .,how many cards did nell give to jeff ?
there are number0 boys and some girls on the playground . there are number1 children altogether . how many girls are on the playground ?,40 117,- number1 number0,77.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23]",there are number0 boys and some girls on the playground . there are number1 children altogether .,how many girls are on the playground ?
carla has some marbles . she bought number0 marbles . now she has number1 marbles . how many did she start with ?,134 187,- number1 number0,53.0,"[1, 2, 6, 7, 8, 12, 13, 14, 19, 20, 21]",carla has some marbles . she bought number0 marbles . now she has number1 marbles .,how many did she start with ?
